Afghanistan,5,0,3
Albania,847,20,777
Algeria,168,6,148
Andorra,28,0,4
Angola,58,1,44
Antigua and Barbuda,44,2,46
Argentina,7432,191,6788
Armenia,491,6,179
Australia,14,0,4
Austria,2324,27,1533
Azerbaijan,314,2,124
Bahamas,0,0,0
Bahrain,588,4,630
Bangladesh,619,7,841
Barbados,23,0,45
Belarus,1174,9,1273
Belgium,2643,27,0
Belize,1,-1,21
Benin,0,0,0
Bhutan,0,0,0
Bolivia,969,27,606
Bosnia and Herzegovina,910,26,247
Botswana,1019,27,1876
Brazil,75102,1699,57555
Brunei,1,0,1
Bulgaria,2198,93,1638
Burkina Faso,32,0,20
Burma,16,1,32
Burundi,28,0,0
Cabo Verde,63,2,38
Cambodia,23,0,5
Cameroon,0,0,0
Canada,2980,47,2797
Central African Republic,14,0,0
Chad,33,0,30
Chile,4567,134,3291
China,18,1,23
Colombia,3565,107,3883
Comoros,0,0,0
Congo (Brazzaville),359,3,0
Congo (Kinshasa),93,0,0
Costa Rica,403,5,1048
Cote d'Ivoire,691,2,208
Croatia,667,9,422
Cuba,807,3,715
Cyprus,384,0,0
Czechia,15230,187,11055
Denmark,521,4,501
Diamond Princess,0,0,0
Djibouti,8,0,6
Dominica,0,0,0
Dominican Republic,619,9,1220
Ecuador,263,38,0
Egypt,587,49,455
El Salvador,160,9,468
Equatorial Guinea,0,0,0
Eritrea,21,0,4
Estonia,1417,8,2720
Eswatini,26,2,87
Ethiopia,980,3,760
Fiji,0,0,0
Finland,758,5,0
France,25286,293,1401
Gabon,0,0,0
Gambia,24,1,32
Georgia,133,12,276
Germany,11393,269,8677
Ghana,890,18,1022
Greece,2217,35,0
Grenada,0,0,0
Guatemala,626,8,535
Guinea,129,1,23
Guinea-Bissau,19,1,31
Guyana,51,0,31
Haiti,5,0,0
Holy See,0,0,0
Honduras,477,17,391
Hungary,6278,152,1921
Iceland,0,0,0
India,16838,113,13819
Indonesia,7264,176,6440
Iran,8404,78,7241
Iraq,5043,24,3396
Ireland,460,39,0
Israel,3922,19,5061
Italy,22845,339,13488
Jamaica,341,1,124
Japan,1149,67,0
Jordan,5733,40,867
Kazakhstan,901,0,1064
Kenya,528,4,185
South Korea,398,8,398
Kosovo,0,0,0
Kuwait,1716,8,1125
Kyrgyzstan,0,2,49
Laos,0,0,0
Latvia,646,12,695
Lebanon,3369,53,2517
Lesotho,1,2,0
Liberia,0,0,0
Libya,1002,14,774
Liechtenstein,5,0,1
Lithuania,547,13,528
Luxembourg,208,4,260
MS Zaandam,0,0,0
Madagascar,0,0,0
Malawi,54,2,378
Malaysia,2063,5,2922
Maldives,167,1,117
Mali,24,0,6
Malta,362,4,230
Marshall Islands,0,0,0
Mauritania,15,0,13
Mauritius,1,0,0
Mexico,7521,822,5319
Micronesia,0,0,0
Moldova,1800,23,658
Monaco,16,0,16
Mongolia,77,0,27
Montenegro,567,8,490
Morocco,394,16,508
Mozambique,775,6,274
Namibia,169,2,63
Nepal,107,0,78
Netherlands,4162,33,6
New Zealand,0,0,0
Nicaragua,0,0,0
Niger,0,0,0
Nigeria,711,12,523
North Macedonia,721,9,1753
Norway,570,0,0
Oman,369,0,353
Pakistan,1579,52,1527
Panama,540,11,764
Papua New Guinea,0,0,0
Paraguay,1439,17,1002
Peru,6672,195,6018
Philippines,2444,15,259
Poland,15253,289,7140
Portugal,830,28,1654
Qatar,475,0,318
Romania,4271,98,2894
Russia,11263,467,15856
Rwanda,136,1,113
Saint Kitts and Nevis,0,0,0
Saint Lucia,11,4,218
Saint Vincent and the Grenadines,0,0,0
Samoa,0,0,0
San Marino,38,0,16
Sao Tome and Principe,17,0,27
Saudi Arabia,375,4,336
Senegal,210,2,269
Serbia,3866,17,0
Seychelles,38,0,50
Sierra Leone,0,0,0
Singapore,19,0,8
Slovakia,2800,71,0
Slovenia,1019,4,869
Solomon Islands,0,0,0
Somalia,123,14,34
South Africa,1404,96,1238
South Sudan,109,3,100
Spain,6037,254,0
Sri Lanka,384,5,399
Sudan,0,0,0
Suriname,6,2,11
Sweden,4838,13,0
Switzerland,1223,8,0
Syria,62,5,84
Taiwan*,2,0,2
Tajikistan,0,0,0
Tanzania,0,0,0
Thailand,54,0,0
Timor-Leste,0,0,0
Togo,135,3,151
Trinidad and Tobago,4,0,2
Tunisia,635,32,755
Turkey,11322,68,7873
US,68045,1937,0
Uganda,18,0,3
Ukraine,10179,202,5104
United Arab Emirates,2742,17,1691
United Kingdom,6644,242,54
Uruguay,871,7,634
Uzbekistan,0,0,135
Vanuatu,0,0,0
Venezuela,577,6,531
Vietnam,6,0,22
West Bank and Gaza,1877,13,1403
Yemen,12,2,0
Zambia,597,1,199
Zimbabwe,44,5,240
