Afghanistan,0,2,4
Albania,543,15,578
Algeria,145,4,107
Andorra,23,0,-1
Angola,27,0,98
Antigua and Barbuda,0,0,0
Argentina,6164,166,6312
Armenia,317,10,230
Australia,7,0,1
Austria,1896,19,2022
Azerbaijan,376,4,101
Bahamas,107,1,132
Bahrain,682,1,456
Bangladesh,1773,26,1432
Barbados,21,1,41
Belarus,947,8,658
Belgium,1578,104,0
Belize,13,0,17
Benin,0,0,0
Bhutan,0,0,0
Bolivia,670,16,815
Bosnia and Herzegovina,2671,138,1283
Botswana,901,23,1034
Brazil,36239,1057,82111
Brunei,0,0,0
Bulgaria,4637,187,1877
Burkina Faso,6,0,9
Burma,0,0,0
Burundi,0,0,0
Cabo Verde,19,0,59
Cambodia,0,0,0
Cameroon,0,0,0
Canada,3811,29,3845
Central African Republic,0,0,0
Chad,19,1,16
Chile,5121,98,4999
China,43,0,20
Colombia,2740,100,3630
Comoros,11,0,4
Congo (Brazzaville),0,0,0
Congo (Kinshasa),63,0,0
Costa Rica,0,0,0
Cote d'Ivoire,255,2,528
Croatia,129,8,583
Cuba,734,3,795
Cyprus,218,0,0
Czechia,3342,153,4257
Denmark,612,2,512
Diamond Princess,0,0,0
Djibouti,26,0,9
Dominica,0,0,0
Dominican Republic,254,4,485
Ecuador,277,4,0
Egypt,631,40,533
El Salvador,148,4,444
Equatorial Guinea,0,0,0
Eritrea,17,0,70
Estonia,1279,9,263
Eswatini,2,2,43
Ethiopia,1151,5,118
Fiji,0,0,0
Finland,465,14,0
France,6471,341,811
Gabon,285,5,197
Gambia,34,0,88
Georgia,159,2,328
Germany,6543,238,8589
Ghana,223,6,452
Greece,1134,46,0
Grenada,6,0,4
Guatemala,133,10,289
Guinea,109,1,83
Guinea-Bissau,0,0,0
Guyana,27,0,23
Haiti,0,0,143
Holy See,0,0,0
Honduras,648,26,47
Hungary,7706,131,2926
Iceland,11,0,4
India,24492,131,20191
Indonesia,5589,147,6830
Iran,7980,100,6813
Iraq,4901,37,4850
Ireland,575,0,0
Israel,1936,19,2551
Italy,15252,354,15807
Jamaica,806,7,114
Japan,713,38,0
Jordan,9417,82,5124
Kazakhstan,961,1,705
Kenya,731,5,191
South Korea,363,3,501
Kosovo,1717,27,1168
Kuwait,1332,7,1335
Kyrgyzstan,67,0,0
Laos,0,0,0
Latvia,178,2,269
Lebanon,1505,42,2800
Lesotho,0,0,0
Liberia,0,0,0
Libya,1087,16,919
Liechtenstein,0,0,2
Lithuania,259,14,47
Luxembourg,423,12,540
MS Zaandam,0,0,0
Madagascar,231,8,114
Malawi,75,2,1029
Malaysia,1208,3,1973
Maldives,94,0,150
Mali,20,3,8
Malta,213,3,316
Marshall Islands,0,0,0
Mauritania,19,0,17
Mauritius,5,0,0
Mexico,1439,234,6188
Micronesia,0,0,0
Moldova,861,39,1152
Monaco,13,0,10
Mongolia,127,0,176
Montenegro,470,7,679
Morocco,159,10,277
Mozambique,0,0,0
Namibia,224,7,44
Nepal,79,0,75
Netherlands,5526,18,40
New Zealand,2,0,0
Nicaragua,0,0,0
Niger,5,0,3
Nigeria,238,3,353
North Macedonia,284,21,446
Norway,865,1,0
Oman,556,1,341
Pakistan,2511,58,1136
Panama,236,11,427
Papua New Guinea,96,5,0
Paraguay,1400,41,1441
Peru,4443,162,8922
Philippines,5395,8,65
Poland,10895,28,14228
Portugal,256,10,2371
Qatar,481,1,311
Romania,2972,82,3750
Russia,9347,400,8409
Rwanda,116,2,69
Saint Kitts and Nevis,0,0,0
Saint Lucia,22,4,19
Saint Vincent and the Grenadines,0,0,0
Samoa,0,0,0
San Marino,25,0,30
Sao Tome and Principe,6,0,37
Saudi Arabia,345,6,223
Senegal,104,15,240
Serbia,4634,28,0
Seychelles,27,0,35
Sierra Leone,1,0,1
Singapore,12,0,6
Slovakia,457,77,0
Slovenia,205,4,239
Solomon Islands,0,0,0
Somalia,138,12,29
South Africa,613,95,1035
South Sudan,64,0,0
Spain,11358,166,0
Sri Lanka,331,5,321
Sudan,0,19,186
Suriname,4,0,5
Sweden,0,0,0
Switzerland,3170,6,0
Syria,78,5,88
Taiwan*,5,0,1
Tajikistan,0,0,0
Tanzania,0,0,0
Thailand,78,0,80
Timor-Leste,7,0,5
Togo,152,1,119
Trinidad and Tobago,5,0,11
Tunisia,290,15,1480
Turkey,15503,63,15893
US,56649,753,0
Uganda,10,0,4
Ukraine,6882,134,3529
United Arab Emirates,1898,7,2438
United Kingdom,5130,64,25
Uruguay,1171,5,1092
Uzbekistan,111,0,89
Vanuatu,0,0,0
Venezuela,1109,14,807
Vietnam,3,0,29
West Bank and Gaza,2298,25,1356
Yemen,72,9,9
Zambia,153,6,619
Zimbabwe,20,1,8
